Website,ID_Leaking,Cookie_Sync,Fingerprinting,Total_Violations,Compliant,Region
whatsapp.com,0,0,0,0,Yes,US
espn.com,6,8,0,14,No,US
draft.blogger.com,0,0,0,0,Yes,US
unesco.org,1,0,0,1,No,US
aboutads.info,0,0,0,0,Yes,US
foxnews.com,6,58,0,64,No,US
youronlinechoices.com,0,0,0,0,Yes,US
scribd.com,0,0,0,0,Yes,US
support.google.com,0,0,0,0,Yes,US
yadi.sk,0,0,0,0,Yes,US
dailymotion.com,3,0,0,3,No,US
discord.gg,0,0,0,0,Yes,US
twitter.com,0,0,0,0,Yes,US
opera.com,1,0,0,1,No,US
discord.com,0,0,0,0,Yes,US
surveymonkey.com,5,3,0,8,No,US
linkedin.com,1,4,0,5,No,US
wa.me,0,0,0,0,Yes,US
cbc.ca,5,4,0,9,No,US
sky.com,2,0,0,2,No,US
soundcloud.com,0,0,0,0,Yes,US
google.co.jp,0,0,0,0,Yes,US
mail.ru,7,3,0,10,No,US
fandom.com,11,16,0,27,No,US
washingtonpost.com,5,1,0,6,No,US
feedburner.com,0,0,0,0,Yes,US
goo.gl,0,0,0,0,Yes,US
myaccount.google.com,0,0,0,0,Yes,US
nature.com,0,0,0,0,Yes,US
theguardian.com,4,45,0,49,No,EU
berkeley.edu,0,0,0,0,Yes,US
vistaprint.com,6,0,0,6,No,US
namecheap.com,1,0,0,1,No,US
lemonde.fr,0,0,0,0,Yes,EU
newyorker.com,21,42,0,63,No,US
whitehouse.gov,0,0,0,0,Yes,US
google.com,0,0,0,0,Yes,US
networkadvertising.org,0,0,0,0,Yes,US
files.wordpress.com,4,0,0,4,No,US
tiktok.com,0,0,0,0,Yes,US
istockphoto.com,1,0,0,1,No,US
amazon.de,0,0,0,0,Yes,EU
apple.com,1,0,0,1,No,US
bp2.blogger.com,0,0,0,0,Yes,US
news.google.com,0,0,0,0,Yes,US
cnn.com,0,0,0,0,Yes,US
archive.org,1,0,0,1,No,US
ziddu.com,0,0,0,0,Yes,US
maps.google.com,0,0,0,0,Yes,US
pixabay.com,0,0,0,0,Yes,US
wikipedia.org,0,0,0,0,Yes,US
wsj.com,1,0,0,1,No,US
netvibes.com,1,0,0,1,No,US
skype.com,0,0,0,0,Yes,US
cpanel.com,1,2,0,3,No,US
it.wikipedia.org,0,0,0,0,Yes,US
office.com,2,2,0,4,No,US
terra.com.br,8,18,0,26,No,US
ru.wikipedia.org,0,0,0,0,Yes,US
nginx.com,20,12,0,32,No,US
bloomberg.com,15,5,0,20,No,US
t.me,0,0,0,0,Yes,US
mozilla.org,0,0,0,0,Yes,US
accounts.google.com,0,0,0,0,Yes,US
