Website,ID_Leaking_Count,Cookie_Sync_Count,Fingerprinting_Count,Total_Violations,Is_Compliant
theguardian.com,4,45,0,49,False
berkeley.edu,0,0,0,0,True
vistaprint.com,6,0,0,6,False
namecheap.com,1,0,0,1,False
lemonde.fr,0,0,0,0,True
newyorker.com,21,42,0,63,False
whitehouse.gov,0,0,0,0,True
google.com,0,0,0,0,True
networkadvertising.org,0,0,0,0,True
files.wordpress.com,4,0,0,4,False
tiktok.com,0,0,0,0,True
istockphoto.com,1,0,0,1,False
amazon.de,0,0,0,0,True
apple.com,1,0,0,1,False
bp2.blogger.com,0,0,0,0,True
news.google.com,0,0,0,0,True
cnn.com,0,0,0,0,True
archive.org,1,0,0,1,False
ziddu.com,0,0,0,0,True
maps.google.com,0,0,0,0,True
pixabay.com,0,0,0,0,True
wikipedia.org,0,0,0,0,True
wsj.com,1,0,0,1,False
netvibes.com,1,0,0,1,False
skype.com,0,0,0,0,True
cpanel.com,1,2,0,3,False
it.wikipedia.org,0,0,0,0,True
office.com,2,2,0,4,False
terra.com.br,8,18,0,26,False
ru.wikipedia.org,0,0,0,0,True
nginx.com,20,12,0,32,False
bloomberg.com,15,5,0,20,False
t.me,0,0,0,0,True
mozilla.org,0,0,0,0,True
accounts.google.com,0,0,0,0,True
